# wavelength(um) wavelength_err(um) depth depth_err
4.66746943e+00 4.28414337e-03 4.56197936e-03 3.02752979e-04
4.67602933e+00 4.27582673e-03 4.92885232e-03 3.14453264e-04
4.68457274e+00 4.26732100e-03 4.05169498e-03 3.19441390e-04
4.69309861e+00 4.25898684e-03 4.63454951e-03 3.17106663e-04
4.70160869e+00 4.25050739e-03 5.03922010e-03 3.15036279e-04
4.71010064e+00 4.24223133e-03 4.59744045e-03 3.12873994e-04
4.71857761e+00 4.23388539e-03 4.44818625e-03 3.09236602e-04
4.72703619e+00 4.22558582e-03 5.24157705e-03 3.07642441e-04
4.73547996e+00 4.21745209e-03 4.42755653e-03 3.09072926e-04
4.74390599e+00 4.20925576e-03 3.74959265e-03 3.11873528e-04
4.75231698e+00 4.20120464e-03 4.71265411e-03 3.16768799e-04
4.76071081e+00 4.19310994e-03 4.82826429e-03 3.18538386e-04
4.76908942e+00 4.18514026e-03 4.86664863e-03 3.19923036e-04
4.77745137e+00 4.17714559e-03 4.57774707e-03 3.21335423e-04
4.78579800e+00 4.16925619e-03 5.38096793e-03 3.25754298e-04
4.79412840e+00 4.16134338e-03 4.26573806e-03 3.33771205e-04
4.80244338e+00 4.15343768e-03 4.16089676e-03 3.37672580e-04
4.81074215e+00 4.14556027e-03 5.20492726e-03 3.39947873e-04
4.81902562e+00 4.13782904e-03 4.95890558e-03 3.35104436e-04
4.82729347e+00 4.13010872e-03 4.86152770e-03 3.33315907e-04
4.83554605e+00 4.12236040e-03 4.71468362e-03 3.41161952e-04
4.84378291e+00 4.11467600e-03 4.91410451e-03 3.48063494e-04
4.85200476e+00 4.10709853e-03 5.03609200e-03 3.53519939e-04
4.86021130e+00 4.09950514e-03 4.26874684e-03 3.48748420e-04
4.86840278e+00 4.09190991e-03 4.72409959e-03 3.40429351e-04
4.87657894e+00 4.08445836e-03 4.63939145e-03 3.48244147e-04
4.88474061e+00 4.07693843e-03 4.57781735e-03 3.58750905e-04
4.89288669e+00 4.06951642e-03 5.62102496e-03 3.75348235e-04
4.90101868e+00 4.06207083e-03 4.75849240e-03 3.86307389e-04
4.90913498e+00 4.05473951e-03 4.64888684e-03 3.85183317e-04
4.91723763e+00 4.04736721e-03 3.90014057e-03 3.89262592e-04
4.92532445e+00 4.04012520e-03 4.52307617e-03 3.97132387e-04
4.93339813e+00 4.03282520e-03 5.01600770e-03 3.80466282e-04
4.94145575e+00 4.02560983e-03 4.60979560e-03 3.60771064e-04
4.94950057e+00 4.01838121e-03 4.15001748e-03 3.50390080e-04
4.95752927e+00 4.01117296e-03 5.18901625e-03 3.42072335e-04
